LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_training,trainBlock,training_feedback_txt.started,fix.started,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,prac_fback_text.stopped,fix.stopped,target_resp_prac1.rt,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,points_cumul,vts_fback.started,vts_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,blockNum,norew_fback.started,key_resp_2.keys,key_resp_2.rt,feedbk_text.started,participant,date,expName,psychopyVersion,frameRate,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,7,19,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.34721153400005,101.34721153400005,101.34721153400005,101.34721153400005,101.34721153400005,101.34721153400005,101.34721153400005,101.34721153400005,101.34721153400005,101.34721153400005,a,1.7185709670002325,10,119,3,103.08242629199958,104.58417733099941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29784,2022-09-16_10h26.56.074,vts_reward_expectancy,2022.2.4,59.9292494456976,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,8,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.08475642299982,105.08475642299982,105.08475642299982,105.08475642299982,105.08475642299982,105.08475642299982,105.08475642299982,105.08475642299982,105.08475642299982,105.08475642299982,a,1.124865390001105,1,120,3,106.23597811199943,107.73729774000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29784,2022-09-16_10h26.56.074,vts_reward_expectancy,2022.2.4,59.9292494456976,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,9,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.23817816899918,108.23817816899918,108.23817816899918,108.23817816899918,108.23817816899918,108.23817816899918,108.23817816899918,108.23817816899918,108.23817816899918,108.23817816899918,a,1.1467581680008152,1,121,3,109.4060636059994,110.90778762799982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29784,2022-09-16_10h26.56.074,vts_reward_expectancy,2022.2.4,59.9292494456976,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,10,22,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.40831843999968,111.40831843999968,111.40831843999968,111.40831843999968,111.40831843999968,111.40831843999968,111.40831843999968,111.40831843999968,111.40831843999968,111.40831843999968,l,1.0408428870005082,1,122,3,112.4763052139997,113.97791826499997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29784,2022-09-16_10h26.56.074,vts_reward_expectancy,2022.2.4,59.9292494456976,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,11,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.47846212399963,114.47846212399963,114.47846212399963,114.47846212399963,114.47846212399963,114.47846212399963,114.47846212399963,114.47846212399963,114.47846212399963,114.47846212399963,l,0.7225171900008718,1,123,3,115.22928568599946,116.73090160299944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29784,2022-09-16_10h26.56.074,vts_reward_expectancy,2022.2.4,59.9292494456976,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,0,24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.23131209999974,117.23131209999974,117.23131209999974,117.23131209999974,117.23131209999974,117.23131209999974,117.23131209999974,117.23131209999974,117.23131209999974,117.23131209999974,l,1.36100924800121,1,124,3,118.61628820199985,120.11809598999935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29784,2022-09-16_10h26.56.074,vts_reward_expectancy,2022.2.4,59.9292494456976,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,2,1,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.61849524899935,120.61849524899935,120.61849524899935,120.61849524899935,120.61849524899935,120.61849524899935,120.61849524899935,120.61849524899935,120.61849524899935,120.61849524899935,a,1.6058914740006003,1,125,3,122.25374629699945,123.75544208599968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29784,2022-09-16_10h26.56.074,vts_reward_expectancy,2022.2.4,59.9292494456976,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,2,26,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.2559659339995,124.2559659339995,124.2559659339995,124.2559659339995,124.2559659339995,124.2559659339995,124.2559659339995,124.2559659339995,124.2559659339995,124.2559659339995,l,0.7845751440008826,10,135,3,125.07345172999976,126.57496191099926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29784,2022-09-16_10h26.56.074,vts_reward_expectancy,2022.2.4,59.9292494456976,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,3,27,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.07569103199967,127.07569103199967,127.07569103199967,127.07569103199967,127.07569103199967,127.07569103199967,127.07569103199967,127.07569103199967,127.07569103199967,127.07569103199967,l,0.6283128680006485,1,136,3,127.72632322999925,129.22800344699954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29784,2022-09-16_10h26.56.074,vts_reward_expectancy,2022.2.4,59.9292494456976,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,4,28,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.72864282299997,129.72864282299997,129.72864282299997,129.72864282299997,129.72864282299997,129.72864282299997,129.72864282299997,129.72864282299997,129.72864282299997,129.72864282299997,a,0.7284318700012591,10,146,3,130.47941660599918,131.98111613799938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29784,2022-09-16_10h26.56.074,vts_reward_expectancy,2022.2.4,59.9292494456976,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,2,5,29,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.48162364699965,132.48162364699965,132.48162364699965,132.48162364699965,132.48162364699965,132.48162364699965,132.48162364699965,132.48162364699965,132.48162364699965,132.48162364699965,a,0.7587767540007917,10,156,3,133.26588238399927,134.7674110479993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29784,2022-09-16_10h26.56.074,vts_reward_expectancy,2022.2.4,59.9292494456976,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,2,6,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.26862625099966,135.26862625099966,135.26862625099966,135.26862625099966,135.26862625099966,135.26862625099966,135.26862625099966,135.26862625099966,135.26862625099966,135.26862625099966,a,0.5648306690009122,1,157,3,135.8520087929992,137.35384452699964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29784,2022-09-16_10h26.56.074,vts_reward_expectancy,2022.2.4,59.9292494456976,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,2,7,31,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.85432572199988,137.85432572199988,137.85432572199988,137.85432572199988,137.85432572199988,137.85432572199988,137.85432572199988,137.85432572199988,137.85432572199988,137.85432572199988,a,0.6748852240007182,1,158,3,138.55495892699946,140.05663668999932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29784,2022-09-16_10h26.56.074,vts_reward_expectancy,2022.2.4,59.9292494456976,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,2,8,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.55716904399924,140.55716904399924,140.55716904399924,140.55716904399924,140.55716904399924,140.55716904399924,140.55716904399924,140.55716904399924,140.55716904399924,140.55716904399924,l,0.31586377000076027,1,159,3,140.8909253489992,142.39251302399953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29784,2022-09-16_10h26.56.074,vts_reward_expectancy,2022.2.4,59.9292494456976,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,2,9,33,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.89314794499933,142.89314794499933,142.89314794499933,142.89314794499933,142.89314794499933,142.89314794499933,142.89314794499933,142.89314794499933,142.89314794499933,142.89314794499933,a,0.2760907470001257,1,160,3,143.19357769899943,144.69509815999936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29784,2022-09-16_10h26.56.074,vts_reward_expectancy,2022.2.4,59.9292494456976,
