LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,fix.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,feedbk_text.started,feedbk_text.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,10,0,10,0,,,,,,,,,,,,,,,,10,839,,,1447.138227902,,174,D,star,0.001591135000126087,,,,,1,1,,,,,,,,,,,,,1441.9586834370002,1441.9586834370002,1441.9586834370002,1441.9586834370002,1443.4675969769996,1443.4675969769996,1443.4675969769996,1443.4675969769996,1443.4675969769996,1443.4675969769996,1443.4675969769996,1443.4675969769996,switch,number,numSwt,f,2.1365301929999987,noRew,,,2,,,,,1445.6367753760005,,,,,,95034,2022-09-16_12h00.42.748,vts_reward_expectancy,2022.2.4,59.86118359128259,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,11,0,11,0,,,,,,,,,,,,,,,,0,839,,,1451.626618676999,,167,Y,triangle,0.001635106998946867,,,,,0,0,,,,,,,,,,,,,1448.1158962299996,1448.1158962299996,1448.1158962299996,1448.1158962299996,1449.6244341399997,1449.6244341399997,1449.6244341399997,1449.6244341399997,1449.6244341399997,1449.6244341399997,1449.6244341399997,1449.6244341399997,switch,letter,NA,j,0.4764770720012166,noRew,,,2,,,,,1450.125093286999,,,,,,95034,2022-09-16_12h00.42.748,vts_reward_expectancy,2022.2.4,59.86118359128259,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,12,0,12,0,,,,,,,,,,,,,,,,1,840,,,1457.299552515,,181,B,star,0.0017539990003569983,,,,,1,1,,,,,,,,,,,,,1452.603107293,1452.603107293,1452.603107293,1452.603107293,1454.1124438059996,1454.1124438059996,1454.1124438059996,1454.1124438059996,1454.1124438059996,1454.1124438059996,1454.1124438059996,1454.1124438059996,switch,number,numSwt,f,1.6601686560006783,noRew,,,2,,,,,1455.797718591999,,,,,,95034,2022-09-16_12h00.42.748,vts_reward_expectancy,2022.2.4,59.86118359128259,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,13,0,13,0,,,,,,,,,,,,,,,,0,840,,,1461.8042808480004,,139,U,triangle,0.0018261709992657416,,,,,1,0,,,,,,,,,,,,,1458.2769523919997,1458.2769523919997,1458.2769523919997,1458.2769523919997,1459.7857521709993,1459.7857521709993,1459.7857521709993,1459.7857521709993,1459.7857521709993,1459.7857521709993,1459.7857521709993,1459.7857521709993,switch,letter,lettSwt,k,0.4909208250010124,noRew,,,2,,,,,1460.3012212459998,,,,,,95034,2022-09-16_12h00.42.748,vts_reward_expectancy,2022.2.4,59.86118359128259,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,14,0,14,0,,,,,,,,,,,,,,,,0,840,,,1466.22608434,,160,F,triangle,0.003210277000107453,,,,,0,0,,,,,,,,,,,,,1462.7820198640002,1462.7820198640002,1462.7820198640002,1462.7820198640002,1464.2905468209992,1464.2905468209992,1464.2905468209992,1464.2905468209992,1464.2905468209992,1464.2905468209992,1464.2905468209992,1464.2905468209992,repeat,letter,NA,k,0.4103029410016461,noRew,,,2,,,,,1464.7245328739991,,,,,,95034,2022-09-16_12h00.42.748,vts_reward_expectancy,2022.2.4,59.86118359128259,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,15,0,15,0,,,,,,,,,,,,,,,,0,840,,,1473.2171258489998,,125,H,star,0.0015741710012662224,,,,,-1,1,,,,,,1473.7176683689995,,,,,,,1467.2041290079997,1467.2041290079997,1467.2041290079997,1467.2041290079997,1468.7121256640003,1468.7121256640003,1468.7121256640003,1468.7121256640003,1468.7121256640003,1468.7121256640003,1468.7121256640003,1468.7121256640003,switch,no_choice,NA,None,,noRew,,,2,,,,,1471.7153244229994,1473.2171258489998,1471.7153244229994,1471.7153244229994,1471.7153244229994,1471.7153244229994,95034,2022-09-16_12h00.42.748,vts_reward_expectancy,2022.2.4,59.86118359128259,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,16,0,16,0,,,,,,,,,,,,,,,,1,841,,,1479.0069451939999,,160,S,star,0.00895125100032601,,,,,1,0,,,,,,,,,,,,,1474.2109950079994,1474.2109950079994,1474.2109950079994,1474.2109950079994,1475.7198664989992,1475.7198664989992,1475.7198664989992,1475.7198664989992,1475.7198664989992,1475.7198664989992,1475.7198664989992,1475.7198664989992,switch,letter,lettSwt,k,1.757499295999878,noRew,,,2,,,,,1477.505231195999,,,,,,95034,2022-09-16_12h00.42.748,vts_reward_expectancy,2022.2.4,59.86118359128259,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,17,0,17,0,,,,,,,,,,,,,,,,10,851,,,1483.4950694069994,,181,B,triangle,0.0016233719998126617,,,,,1,0,,,,,,,,,,,,,1479.9845670209997,1479.9845670209997,1479.9845670209997,1479.9845670209997,1481.4930622079992,1481.4930622079992,1481.4930622079992,1481.4930622079992,1481.4930622079992,1481.4930622079992,1481.4930622079992,1481.4930622079992,switch,number,numSwt,f,0.47930761499992514,noRew,,,2,,,,,1481.9936606789997,,,,,,95034,2022-09-16_12h00.42.748,vts_reward_expectancy,2022.2.4,59.86118359128259,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,18,0,18,0,,,,,,,,,,,,,,,,0,851,,,1488.0499636069999,,146,F,triangle,0.001706308001303114,,,,,1,0,,,,,,,,,,,,,1484.4730075440002,1484.4730075440002,1484.4730075440002,1484.4730075440002,1485.981387325999,1485.981387325999,1485.981387325999,1485.981387325999,1485.981387325999,1485.981387325999,1485.981387325999,1485.981387325999,switch,letter,lettSwt,j,0.5438787620005314,noRew,,,2,,,,,1486.5484779229992,,,,,,95034,2022-09-16_12h00.42.748,vts_reward_expectancy,2022.2.4,59.86118359128259,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,19,0,19,0,,,,,,,,,,,,,,,,1,852,,,1493.0722770249995,,139,H,star,0.0010987819987349212,,,,,1,0,,,,,,,,,,,,,1489.0286601949992,1489.0286601949992,1489.0286601949992,1489.0286601949992,1490.5361878139993,1490.5361878139993,1490.5361878139993,1490.5361878139993,1490.5361878139993,1490.5361878139993,1490.5361878139993,1490.5361878139993,repeat,letter,lettRpt,j,1.0054703800014977,noRew,,,2,,,,,1491.570520936999,,,,,,95034,2022-09-16_12h00.42.748,vts_reward_expectancy,2022.2.4,59.86118359128259,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,20,0,20,0,,,,,,,,,,,,,,,,0,852,,,1497.644093162,,125,W,triangle,0.0016463720003230264,,,,,1,0,,,,,,,,,,,,,1494.0508330529992,1494.0508330529992,1494.0508330529992,1494.0508330529992,1495.558371399,1495.558371399,1495.558371399,1495.558371399,1495.558371399,1495.558371399,1495.558371399,1495.558371399,repeat,letter,lettRpt,k,0.567842249000023,noRew,,,2,,,,,1496.1429400899997,,,,,,95034,2022-09-16_12h00.42.748,vts_reward_expectancy,2022.2.4,59.86118359128259,
