LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,training_fix.started,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,fix.started,fix.stopped,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpect,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,7,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.90083007299836,175.384839645998,175.384839645998,175.384839645998,175.384839645998,175.384839645998,175.384839645998,175.384839645998,175.384839645998,175.384839645998,l,1.8638517350045731,10,110,0,177.27017451400025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,8,20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.7717587779989,179.25568627999746,179.25568627999746,179.25568627999746,179.25568627999746,179.25568627999746,179.25568627999746,179.25568627999746,179.25568627999746,179.25568627999746,l,1.5457010040045134,1,111,0,180.8240998379988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,9,21,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.32565473399882,182.80972376799764,182.80972376799764,182.80972376799764,182.80972376799764,182.80972376799764,182.80972376799764,182.80972376799764,182.80972376799764,182.80972376799764,a,1.3749229900022328,1,112,0,184.2114240230003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,10,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.7127218179994,186.196881115,186.196881115,186.196881115,186.196881115,186.196881115,186.196881115,186.196881115,186.196881115,186.196881115,l,1.9251158210026915,1,113,0,188.14882089199818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,11,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.65046424699904,190.13427594699897,190.13427594699897,190.13427594699897,190.13427594699897,190.13427594699897,190.13427594699897,190.13427594699897,190.13427594699897,190.13427594699897,a,3.1543506260059075,1,114,0,193.3212029339993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,0,24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.8228283139979,195.30661551799858,195.30661551799858,195.30661551799858,195.30661551799858,195.30661551799858,195.30661551799858,195.30661551799858,195.30661551799858,195.30661551799858,a,5.062056817001576,1,115,0,200.39562976399975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,1,25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.89730012499786,202.38138270999843,202.38138270999843,202.38138270999843,202.38138270999843,202.38138270999843,202.38138270999843,202.38138270999843,202.38138270999843,202.38138270999843,l,1.204046251001273,10,125,0,203.61606773099993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,2,2,26,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.11772468699928,205.6016463269989,205.6016463269989,205.6016463269989,205.6016463269989,205.6016463269989,205.6016463269989,205.6016463269989,205.6016463269989,205.6016463269989,l,3.4633972180054116,1,126,0,209.08861973699823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,2,3,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.59017275299993,211.07390424299956,211.07390424299956,211.07390424299956,211.07390424299956,211.07390424299956,211.07390424299956,211.07390424299956,211.07390424299956,211.07390424299956,a,0.7588157290010713,10,136,0,211.8583340139994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,2,4,28,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.35983981900063,213.84405182899718,213.84405182899718,213.84405182899718,213.84405182899718,213.84405182899718,213.84405182899718,213.84405182899718,213.84405182899718,213.84405182899718,l,1.6617677829999593,10,146,0,215.52917400799925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
