LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,prac_fback_text.stopped,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,vts_fback.stopped,fix.stopped,target_resp.rt,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,feedbk_text.started,feedbk_text.stopped,button.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,630,,,1227.3393364930016,,W,167,circle,0.0016043020004872233,,,,,1,0,,,3,,,,,,,,,1223.7353767310015,1223.7353767310015,1223.7353767310015,1223.7353767310015,1225.2367952640016,1225.2367952640016,1225.2367952640016,1225.2367952640016,1225.2367952640016,1225.2367952640016,1225.2367952640016,1225.2367952640016,,,,,repeat,letter,lettRpt,f,vtsPrac,1225.8377234319996,,,0.5692044409988739,,,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,630,,,1232.694960836001,,B,146,hexagon,0.0015305239976441953,,,,,1,0,,,3,,,,,,,,,1228.3242774870014,1228.3242774870014,1228.3242774870014,1228.3242774870014,1229.8255476970007,1229.8255476970007,1229.8255476970007,1229.8255476970007,1229.8255476970007,1229.8255476970007,1229.8255476970007,1229.8255476970007,,,,,switch,number,numSwt,j,vtsPrac,1231.1933783599998,,,1.3405603299979703,,,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,630,,,1237.633861772003,,S,146,star,0.0016019690010580234,,,,,1,0,,,3,,,,,,,,,1233.679026093003,1233.679026093003,1233.679026093003,1233.679026093003,1235.1810936210022,1235.1810936210022,1235.1810936210022,1235.1810936210022,1235.1810936210022,1235.1810936210022,1235.1810936210022,1235.1810936210022,,,,,repeat,number,numRpt,j,vtsPrac,1236.132222817003,,,0.9286219419991539,,,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,630,,,1242.7394841090027,,Y,160,hexagon,0.0013662900018971413,,,,,1,0,,,3,,,,,,,,,1238.6218639610015,1238.6218639610015,1238.6218639610015,1238.6218639610015,1240.1199836150008,1240.1199836150008,1240.1199836150008,1240.1199836150008,1240.1366108440016,1240.1366108440016,1240.1366108440016,1240.1366108440016,,,,,switch,letter,lettSwt,f,vtsPrac,1241.2380480160027,,,1.0865339989977656,,,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,630,,,1247.4781904299998,,B,181,hexagon,0.0014009290025569499,,,,,1,0,,,3,,,,,,,,,1243.7247467680027,1243.7247467680027,1243.7247467680027,1243.7247467680027,1245.2256438740005,1245.2256438740005,1245.2256438740005,1245.2256438740005,1245.2256438740005,1245.2256438740005,1245.2256438740005,1245.2256438740005,,,,,repeat,letter,lettRpt,d,vtsPrac,1245.976337924003,,,0.733115409995662,,,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,630,,,1252.7672301710008,,D,139,star,0.0013040560006629676,,,,,1,0,,,3,,,,,,,,,1248.4626111680009,1248.4626111680009,1248.4626111680009,1248.4626111680009,1249.9643885580008,1249.9643885580008,1249.9643885580008,1249.9643885580008,1249.9643885580008,1249.9643885580008,1249.9643885580008,1249.9643885580008,,,,,repeat,letter,lettRpt,d,vtsPrac,1251.2657175860004,,,1.274125104999257,,,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,630,,,1346.487629956002,,D,139,circle,0.002031783002166776,,,,,1,0,,,,,,,,,,,,1342.4158246280022,1342.4158246280022,1342.4158246280022,1342.4158246280022,1343.9178549160024,1343.9178549160024,1343.9178549160024,1343.9178549160024,1343.9178549160024,1343.9178549160024,1343.9178549160024,1343.9178549160024,,,,,repeat,letter,lettRpt,d,noRew,,,,1.0399643589953484,0,1344.9856644190004,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,630,,,1351.4094680740018,,S,181,hexagon,0.016975473998172674,,,,,1,0,,,,,,,,,,,,1347.4814644239996,1347.4814644239996,1347.4814644239996,1347.4814644239996,1348.9734034800022,1348.9734034800022,1348.9734034800022,1348.9734034800022,1348.9900886810028,1348.9900886810028,1348.9900886810028,1348.9900886810028,,,,,repeat,letter,lettRpt,f,noRew,,,,0.9042056329963089,0,1349.9079255200013,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,0,630,,,1357.2158725020017,,W,125,hexagon,0.0016357439999410417,,,,,1,0,,,,,,,,,,,,1352.3948232069997,1352.3948232069997,1352.3948232069997,1352.3948232069997,1353.8954798800005,1353.8954798800005,1353.8954798800005,1353.8954798800005,1353.8954798800005,1353.8954798800005,1353.8954798800005,1353.8954798800005,,,,,repeat,letter,lettRpt,f,noRew,,,,1.7983653359988239,0,1355.714290398002,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,0,630,,,1361.9374718460022,,H,160,star,0.0017545139999128878,,,,,0,0,,,,,,,,,,,,1358.1992740480018,1358.1992740480018,1358.1992740480018,1358.1992740480018,1359.7017885230016,1359.7017885230016,1359.7017885230016,1359.7017885230016,1359.7017885230016,1359.7017885230016,1359.7017885230016,1359.7017885230016,,,,,repeat,letter,NA,f,noRew,,,,0.7124842249977519,0,1360.435896236002,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
